Name of teacher,Day,1,2,3,4,5,6,7,8
Mr. CS ,Mon,12A CS,11 A+B IP,12A+B IP,,11A CS,,11A CS PR,11A CS PR
Mr. CS ,Tue,12A CS,11 A+B IP,12A+B IP,,11A CS,,11A CS PR,11A CS PR
Mr. CS ,Wed,12A CS,11 A+B IP,12A+B IP,,11A CS,,12A CS PR,12A CS PR
Mr. CS ,Thur,12A CS,11 A+B IP,12A+B IP,,11A CS,11A +B PR IP,12A CS PR,12A CS PR
Mr. CS ,Fri,12A CS,11 A+B IP,,,11A CS,11A +B PR IP,12A+B IP PR,12A+B IP PR
Mr. CS ,Sat,,,12A+B IP,,11A+B PR IP,11A +B PR IP,12A+B IP PR,12A+B IP PR
Mrs. Chemistry,Mon,11A,,10B,12A,,,12A B2 PR,12A B2 PR
Mrs. Chemistry,Tue,11A,,10B,12A,,,12A B2 PR,12A B2 PR
Mrs. Chemistry,Wed,11A,,,12A,10A,,11A B1 PR,11A B1 PR
Mrs. Chemistry,Thur,11A,,,12A,10A,10B PR,11A B1 PR,11A B1 PR
Mrs. Chemistry,Fri,11A,,,12A,12A B1 PR,12A B1 PR,11A B2 PR,11A B2 PR
Mrs. Chemistry,Sat,,,,10A PR,12A B1 PR,12A B1 PR,11A B2 PR,11A B2 PR
Ms . Physics,Mon,,12A,,11A,10A,,12A B1 PR,12A B1 PR
Ms . Physics,Tue,,12A,,11A,10A,,12A B1 PR,12A B1 PR
Ms . Physics,Wed,,12A,10B,11A,,,11A B2 PR,11A B2 PR
Ms . Physics,Thur,,12A,10B,11A,,10B PR,11A B2 PR,11A B2 PR
Ms . Physics,Fri,,12A,,11A,12A B2 PR,12A B2 PR,11A B1 PR,11A B1 PR
Ms . Physics,Sat,12A,12A,,10A,12A B2 PR,12A B2 PR,11A B1 PR,11A B1 PR
Mrs. Biology,Mon,12A,,7B,,11A,8B,11A PR ,11A PR 
Mrs. Biology,Tue,12A,,7B,,11A,8B,11A PR ,11A PR 
Mrs. Biology,Wed,12A,,7B,,11A,8B,12A PR,12A PR
Mrs. Biology,Thur,12A,,7B,,11A,10B PR,12A PR,12A PR
Mrs. Biology,Fri,12A,10B,7B,,11A,10A ,,
Mrs. Biology,Sat,,,7B,10A PR,11A,10A ,,10B
Mr. Hindi,Mon,,11A+B,12A+B,,,,,
Mr. Hindi,Tue,,11A+B,12A+B,,,,,
Mr. Hindi,Wed,,11A+B,12A+B,,,,,
Mr. Hindi,Thur,,11A+B,12A+B,,,,,
Mr. Hindi,Fri,,11A+B,,,,,,
Mr. Hindi,Sat,12B,12B,12A+B,,,,,12A+B
Ms. Math,Mon,,11A+B,12A+B,,,,,
Ms. Math,Tue,,11A+B,12A+B,,,,,
Ms. Math,Wed,,11A+B,12A+B,,,,,
Ms. Math,Thur,,11A+B,12A+B,,,11A+B,,
Ms. Math,Fri,,11A+B,,,,11A+B,12A+B,12A+B
Ms. Math,Sat,11A,11A,12A+B,,11A+B,11A+B,12A+B,12A+B
Mr. Econ,Mon,12B,8A,,,11B,11B,12B,12B
Mr. Econ,Tue,12B,8A,,11B,,11B,,
Mr. Econ,Wed,12B,8A,,11B,,11B,,8B
Mr. Econ,Thur,12B,8A,,11B,,,,
Mr. Econ,Fri,12B,,12B,11B,,,,8A
Mr. Econ,Sat,11B,11B,,11B,,12B,,8A
Mrs. Accounts,Mon,11B ACC,,11B BST,12B ACC,12B BST,12B BST,11B BST,11B BST
Mrs. Accounts,Tue,11B ACC,,11B BST,12B ACC,12B BST,12B BST,,11B BST
Mrs. Accounts,Wed,11B ACC,,11B BST,12B ACC,12B BST,12B BST,,11B ACC
Mrs. Accounts,Thur,11B ACC,,11B BST,12B ACC,12B BST,12B ACC,12B ACC,11B ACC
Mrs. Accounts,Fri,11B ACC,,11B BST,12B ACC,12B BST,12B ACC,,11B ACC
Mrs. Accounts,Sat,,,11B BST,12B ACC,12B BST,,,11B ACC
Mr. English,Mon,,12B ,11A,11B,12A,11A,,
Mr. English,Tue,,12B ,11A,,12A,,11B,
Mr. English,Wed,,12B ,11A,,12A,,11B,12B
Mr. English,Thur,,12B ,11A,,12A,,11B,
Mr. English,Fri,,12B ,12A,,,,11B,
Mr. English,Sat,,,11A,12A,,,11B,
Ms. GS,Mon,,10B B1 (AI PR),,6A,,6B,8A,
Ms. GS,Tue,8B,,,10A B1 (AI PR),,11A,8A,7A
Ms. GS,Wed,,,,,,12A,12B,
Ms. GS,Thur,7B,6B,,,11B,9A B1 (AI PR),,
Ms. GS,Fri,7A,,8B,6A,,,7B,
Ms. GS,Sat,8B,8B,,,,,,
